ATM_TRXN_IN_AM_MEAN,ATM_TRXN_IN_CT_MEAN,ATM_TRXN_OUT_AM_MEAN,ATM_TRXN_OUT_CT_MEAN,ATM_TRXN_IN_AM_CLIP_1,ATM_TRXN_IN_AM_CLIP_2,ATM_TRXN_IN_AM_CLIP_3,ATM_TRXN_IN_AM_CLIP_4,ATM_TRXN_IN_AM_CLIP_5,ATM_TRXN_IN_AM_CLIP_6,ATM_TRXN_IN_AM_CLIP_7,ATM_TRXN_IN_AM_CLIP_8,ATM_TRXN_IN_AM_CLIP_9,ATM_TRXN_IN_AM_CLIP_10,ATM_TRXN_IN_AM_CLIP_11,ATM_TRXN_IN_AM_CLIP_12,ATM_TRXN_IN_AM_CLIP_13,ATM_TRXN_IN_AM_CLIP_14,ATM_TRXN_IN_AM_CLIP_15,ATM_TRXN_IN_AM_CLIP_16,ATM_TRXN_IN_AM_CLIP_17,ATM_TRXN_IN_AM_CLIP_18,ATM_TRXN_IN_AM_CLIP_19,ATM_TRXN_IN_AM_CLIP_20,ATM_TRXN_IN_AM_CLIP_21,ATM_TRXN_OUT_AM_CLIP_1,ATM_TRXN_OUT_AM_CLIP_2,ATM_TRXN_OUT_AM_CLIP_3,ATM_TRXN_OUT_AM_CLIP_4,ATM_TRXN_OUT_AM_CLIP_5,ATM_TRXN_OUT_AM_CLIP_6,ATM_TRXN_OUT_AM_CLIP_7,ATM_TRXN_OUT_AM_CLIP_8,ATM_TRXN_OUT_AM_CLIP_9,ATM_TRXN_OUT_AM_CLIP_10,ATM_TRXN_OUT_AM_CLIP_11,ATM_TRXN_OUT_AM_CLIP_12,ATM_TRXN_OUT_AM_CLIP_13,ATM_TRXN_OUT_AM_CLIP_14,ATM_TRXN_OUT_AM_CLIP_15,ATM_TRXN_OUT_AM_CLIP_16,ATM_TRXN_OUT_AM_CLIP_17,ATM_TRXN_OUT_AM_CLIP_18,ATM_TRXN_OUT_AM_CLIP_19,ATM_TRXN_OUT_AM_CLIP_20,ATM_TRXN_OUT_AM_CLIP_21,ATM_TRXN_IN_AM_JMP_P100___0,ATM_TRXN_IN_AM_JMP_P100____,ATM_TRXN_IN_CT_JMP_P100___0,ATM_TRXN_IN_CT_JMP_P100____,ATM_TRXN_OUT_AM_JMP_P100___0,ATM_TRXN_OUT_AM_JMP_P100____,ATM_TRXN_OUT_CT_JMP_P100___0,ATM_TRXN_OUT_CT_JMP_P100____,SAR_FLG
9237.5,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1
0,0,4836.363636,0.090909091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
5590.909091,0.090909091,12554.54545,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
0,0,8272.727273,0.090909091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
0,0,7236.363636,0.090909091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0
